tracker_id,solo_Wins,solo_HeadshotKillsPg
142404,0.113208,0.141091
14352,0.339623,0.068364
64263,0.037736,0.071273
4040,0,0.047273
33415,0.028302,0.017455
13504,0,0.021818
176657,0.018868,0.157818
143358,0.037736,0.072727
18504,0.04717,0.026909
8092,0.028302,0.052364
2627,0,0.096727
76622,0.198113,0.059636
196304,0.018868,0.022545
23567,0.066038,0.017455
6661,0.009434,0
12919,0.028302,0.047273
8772,0.066038,0.069818
156994,0.04717,0.045091
142397,0.04717,0.042182
6929,0.066038,0.026182
15776,0.292453,0.034909
157609,0.254717,0.066909
108162,0,0.036364
21987,0.037736,0.050909
21579,0.349057,0.031273
44680,0.018868,0.026182
24383,0,0.054545
71471,0.424528,0.042909
7706,0.037736,0.017455
34667,0.056604,0.034909
6271,0.018868,0.029091
9598,0.349057,0.027636
8659,0.028302,0.032727
7299,0.04717,0.034182
44335,0.018868,0.109091
7093,0.028302,0.064727
9344,0.018868,0.032727
11990,0.037736,0.026182
14074,0.018868,0.043636
16495,0.028302,0.046545
142406,0.04717,0.026182
12503,0.04717,0.032727
52504,0.141509,0.034182
63812,0.009434,0.023273
9087,0.188679,0.024727
39,0.698113,0.085091
178989,0.018868,0.016727
196312,0.028302,0.034182
18631,0.009434,0.026182
52215,0.216981,0.062545
64014,0.301887,0.040727
17946,0,0.121455
156999,0.066038,0.029091
116132,0.339623,0.046545
79630,0.396226,0.044364
89183,0.264151,0.234182
14937,0.339623,0.021818
24109,0.09434,0.031273
7496,0.028302,0.021818
16094,0.018868,0.032727
11374,0.009434,0.048727
6110,0.962264,0.027636
54506,0.132075,0.031273
16147,0.04717,0.027636
2265,0.037736,0.067636
28749,0,0.109091
9211,0.084906,0.019636
3592,0.037736,0.047273
129560,0.311321,0.012364
24842,0,0.014545
154045,0.075472,0.039273
48,0,0.072727
39157,0.396226,0.016727
142602,0.04717,0.047273
62095,0.018868,0.060364
33298,0.04717,0.057455
150167,0.349057,0.046545
8111,0.245283,0.038545
8907,0.028302,0.04
93950,0.018868,0.021818
18421,0.037736,0.046545
103121,0.254717,0.077818
109146,0.066038,0.024727
11387,0.056604,0.028364
2227,0.037736,0.061818
142396,0.084906,0.128727
39732,0.028302,0.042182
104711,0.009434,0.121455
3657,0.009434,0.027636
176763,0.04717,0.048727
8004,0.009434,0.145455
16530,0.132075,0.042182
38807,0.066038,0.069818
63564,0.377358,0.077091
54274,0.235849,0.032727
14690,0.056604,0.041455
91893,0.056604,0.012364
142409,0.028302,0.050182
50626,0.075472,0.036364
16238,0.066038,0.024727
7876,0.09434,0.035636
24021,0.537736,0.040727
54653,0.028302,0.021818
9984,0.009434,0.058182
23797,0.04717,0.018182
12853,0.018868,0.016727
212,0.037736,0.061091
24381,0.037736,0.016727
20542,0.066038,0.069818
6273,0.028302,0.062545
21988,0.04717,0.056727
14880,0.150943,0.018182
13718,0.009434,0.04
4348,0.028302,0.030545
44153,0.04717,0.037091
5113,0.028302,0.021818
15984,0.056604,0.072727
165270,0.009434,0.029091
9872,0.056604,0.071273
117538,0.056604,0.010182
6949,0.028302,0.018182
40134,0.075472,0.047273
2087,0.075472,0.149818
20069,0.037736,0.051636
33380,0.028302,0.015273
106726,0.650943,0.058909
