tracker_id,solo_Kills,solo_RideDistance
10989,0.040318,0.066988
171748,0.015368,0.00508
39774,0.044115,0.07726
30218,0.173386,0.200954
114759,0.016995,0.012198
15167,0.028566,0.04492
9938,0.01121,0.009418
97180,0.025131,0.017292
52978,0.007955,0.003862
70328,0.003435,0.002309
18938,0.018803,0.021645
26645,0.013018,0.009642
17723,0.109564,0.43658
122851,0.064726,0.126524
29467,0.004701,0.004645
78753,0.080094,0.066932
39726,0.136503,0.29091
12166,0.009221,0.012968
7865,0.015549,0.013478
27997,0.116254,0.692945
64385,0.016634,0.043635
23846,0.00235,0.000528
3779,0.000181,0.000581
129536,0.034352,0.037929
141767,0.043934,0.150441
599,0.069608,0.073574
137167,0.038329,0.023057
18936,0.001446,0.000291
7999,0.001627,0.002115
161190,0.039053,0.046996
194043,0.035437,0.062113
48822,0.027843,0.083287
779,0.070331,0.030812
209760,0.002893,0.001949
50663,0.088772,0.070567
4233,0.066896,0.212049
23072,0.044115,0.051905
2006,0.05424,0.043057
27795,0.014102,0.020052
42287,0.005062,0.002006
34107,0.005605,0.004355
17233,0.051347,0.033095
9876,0.049177,0.118131
16640,0.008317,0.006379
3129,0.011029,0.005567
102793,0.100344,0.043929
167657,0.015549,0.020741
12491,0.066534,0.10974
5121,0.02043,0.068412
4754,0.031459,0.01279
126956,0.019888,0.023635
173918,0.001808,0.003648
33663,0.056409,0.13868
8213,0.029651,0.029001
18031,0.020611,0.014855
27489,0.023504,0.01321
11479,0.024046,0.021668
113527,0.019526,0.037017
23417,0.001266,0.000263
8463,0.055325,0.021205
41200,0.159826,0.470776
48125,0.010125,0.023337
34040,0.005786,0.00745
42250,0.072681,0.131258
15978,0.000723,0.000668
54194,0.024227,0.029319
157215,0.082987,0.033107
85339,0.035256,0.056974
120561,0.034352,0.199012
7538,0.022057,0.031172
65161,0.103598,0.147469
14736,0.023504,0.028081
17854,0.367022,0.768588
22537,0.024408,0.065781
2231,0.009402,0.003519
23437,0.014102,0.009104
49802,0.097451,0.134841
19080,0.049177,0.0379
26908,0.056771,0.033465
24562,0.005424,0.007319
3813,0.009944,0.012504
605,0.007594,0.007783
581,0.00235,0.002082
15246,0.04972,0.122007
115428,0.066534,0.0748
84282,0.026216,0.017341
4392,0.000181,0.000956
14663,0.014102,0.021087
14881,0.127644,0.114726
104473,0.039053,0.067071
6849,0.008498,0.006416
22572,0.076478,0.103827
31627,0.016814,0.006496
214653,0.148074,0.030439
131816,0.074489,0.181127
32875,0.073947,0.16331
36361,0.007413,0.012081
53612,0.029832,0.053662
21221,0.007594,0.003383
147833,0.017718,0.018755
6701,0.000181,0.000175
11341,0.026939,0.008174
14799,0.012114,0.009676
9753,0.016453,0.015226
6409,0.00217,0.000993
138358,0.065449,0.059529
63738,0.010125,0.03981
24853,0.036521,0.092294
208813,0.021153,0.007213
9439,0.13343,0.104479
10503,0.041765,0.086109
44963,0.000362,0.00046
125814,0.051709,0.028386
13354,0.019346,0.012896
29332,0.051528,0.040136
48640,0.105767,0.221124
204661,0.018984,0.018151
6198,0.022238,0.00385
118275,0.049177,0.062198
103145,0.002893,0.000463
9051,0.011029,0.015271
30724,0.04068,0.135174
151178,0.025673,0.018259
44100,0.008317,0.016376
34677,0.010306,0.045216
15902,0.001446,0.001169
15855,0.197433,0.451459
40469,0.036341,0.010172
11624,0.003074,0.004117
15202,0.059483,0.1308
141815,0.03616,0.028131
8542,0.043573,0.070388
677,0.233231,0.167519
2441,0.000904,0.001195
101251,0.050443,0.133589
35062,0.114446,0.367931
23997,0.008678,0.012217
188623,0.001627,0.001071
176516,0.010306,0.017404
210133,0.022961,0.059257
70025,0.039595,0.055411
1371,0.17194,0.135401
6274,0.34171,0.615408
31652,0.017176,0.014218
3158,0.066172,0.072382
159629,0.031097,0.041616
81125,0.000904,0.002546
5620,0.028205,0.040572
96858,0.062737,0.149838
109077,0.008136,0.006771
50174,0.009221,0.007572
47925,0.160369,0.409449
201578,0.022961,0.027322
17937,0.003978,0.001519
176805,0.040137,0.06428
20379,0.013922,0.012759
71678,0.008498,0.004872
133926,0.021696,0.018257
194507,0.023865,0.007612
124161,0.022238,0.0223
191388,0.049901,0.081491
2537,0.037606,0.017395
12718,0.001808,0
45405,0.048635,0.095474
65559,0.000362,0
26460,0.010667,0.01452
14122,0.0226,0.031614
41428,0.013922,0.01287
218264,0.032001,0.132957
158468,0.003074,0.001606
32424,0.129452,0.361615
2251,0.026216,0.026207
83300,0.005966,0.003877
52734,0.0678,0.193203
217407,0.001266,0.001355
21837,0.052251,0.112876
162986,0.06111,0.300185
6653,0.00687,0.007984
1692,0.024227,0.016961
30803,0.105044,0.097778
16144,0.029109,0.003567
45200,0.027301,0.101789
169642,0.01356,0.028909
136342,0.017176,0.013305
145213,0.067257,0.106928
12257,0.051528,0.025272
176612,0.263605,0.145188
147585,0.013741,0.00631
47173,0.01356,0.03237
825,0.016995,0.005546
6711,0.021153,0.012625
54066,0.010306,0.013695
22322,0.033809,0.022917
145801,0.011029,0.013385
13063,0.077744,0.047296
80586,0.032182,0.027452
158847,0.010306,0.02376
164922,0.084795,0.255269
26574,0.009763,0.012977
36346,0.114627,0.077713
41822,0.005966,0.007358
187548,0.047369,0.058448
146576,0.010486,0.013185
6375,0.007955,0.006755
109789,0.038691,0.062833
6993,0.000542,0.000408
23430,0.039053,0.115603
52083,0.034894,0.028221
203443,0.037064,0.0593
8206,0.011933,0.017508
55440,0.101609,0.193793
