tracker_id,solo_Kills,solo_WalkDistance
34677,0.010306,0.035259
15902,0.001446,0.001909
15855,0.197433,0.56369
40469,0.036341,0.038583
11624,0.003074,0.004599
15202,0.059483,0.053224
141815,0.03616,0.073893
8542,0.043573,0.103955
677,0.233231,0.171694
2441,0.000904,0.000828
101251,0.050443,0.158313
35062,0.114446,0.284039
23997,0.008678,0.018253
188623,0.001627,0.001585
176516,0.010306,0.025353
210133,0.022961,0.09079
70025,0.039595,0.062187
1371,0.17194,0.158661
6274,0.34171,0.436893
31652,0.017176,0.025013
3158,0.066172,0.072344
159629,0.031097,0.050199
81125,0.000904,0.00233
5620,0.028205,0.026005
96858,0.062737,0.188528
109077,0.008136,0.011613
50174,0.009221,0.017741
47925,0.160369,0.240866
201578,0.022961,0.043452
17937,0.003978,0.001264
176805,0.040137,0.117667
20379,0.013922,0.01361
71678,0.008498,0.00861
133926,0.021696,0.022014
194507,0.023865,0.023862
124161,0.022238,0.024111
191388,0.049901,0.134525
2537,0.037606,0.04795
12718,0.001808,0.001288
45405,0.048635,0.105385
65559,0.000362,0.001396
26460,0.010667,0.015854
14122,0.0226,0.040172
41428,0.013922,0.021247
218264,0.032001,0.088293
158468,0.003074,0.001948
32424,0.129452,0.227901
2251,0.026216,0.049558
83300,0.005966,0.004529
52734,0.0678,0.111175
217407,0.001266,0.002551
21837,0.052251,0.087547
162986,0.06111,0.223188
6653,0.00687,0.009073
1692,0.024227,0.015708
30803,0.105044,0.129114
16144,0.029109,0.03658
45200,0.027301,0.074795
169642,0.01356,0.025723
136342,0.017176,0.026706
145213,0.067257,0.130819
12257,0.051528,0.041366
176612,0.263605,0.278607
147585,0.013741,0.022468
47173,0.01356,0.042501
825,0.016995,0.011072
6711,0.021153,0.020395
54066,0.010306,0.019425
22322,0.033809,0.040342
145801,0.011029,0.015972
13063,0.077744,0.07827
80586,0.032182,0.065869
158847,0.010306,0.040754
164922,0.084795,0.285275
26574,0.009763,0.010784
36346,0.114627,0.164823
41822,0.005966,0.003946
187548,0.047369,0.063758
146576,0.010486,0.023152
6375,0.007955,0.011694
109789,0.038691,0.087012
6993,0.000542,0.000307
23430,0.039053,0.081392
52083,0.034894,0.049643
203443,0.037064,0.116935
8206,0.011933,0.015543
